;;19;19;19;40DG;40DG;40DG;40GCA;40GCA;40GCA
;;HeatPumpPCEconOpen_R717;HeatPumpPCEconOpen_R1234ZE(Z);HeatPumpSimple_R717;HeatPumpPCEconOpen_R717;HeatPumpPCEconOpen_R1234ZE(Z);HeatPumpSimple_R717;HeatPumpPCEconOpen_R717;HeatPumpPCEconOpen_R1234ZE(Z);HeatPumpSimple_R717
pn;cap_ccet;190.5;229.2;292.9;256.7;256.7;256.7;318.5;324.7;320.1
pn;cap_hp1;50.0;28.8;0.0;0.0;0.0;0.0;40.7;13.9;9.7
pn;cap_hp2;35.7;26.1;0.0;0.0;0.0;0.0;5.0;0.9;9.6
pn;cap_hp3;15.3;25.7;0.0;0.0;0.0;0.0;0.0;0.0;9.4
pn;cap_hp4;12.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9
pn;cap_hp5;11.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5
pn;cap_hp6;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6
pn;cap_hp7;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4
pn;cap_hp_sum;127.9;80.6;0.0;0.0;0.0;0.0;45.7;14.8;42.0
pn;cap_in_st-tes;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0
pn;cap_out_st-tes;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0
pn;cap_plb;118.0;170.0;247.0;55.0;13.0;55.0;222.0;256.0;228.0
pn;cap_st-tes;8472.0;8472.0;8472.0;8472.0;8472.0;8472.0;8472.0;8472.0;8472.0
pn;MIPGap;0.002;0.002;0.002;0.01;0.006;0.01;0.087;0.063;0.102
pn;LCOH;13.34;18.89;25.5;34.29;34.04;34.29;39.48;41.03;40.26
pn;objective;-97726793.18;-95163020.39;-95225212.98;-79091142.01;-77843296.66;-79127250.94;-81696293.52;-79793105.95;-81551832.56
sn;cap_hp1;50.0;42.5;0.0;0.0;0.0;0.0;34.0;13.4;28.7
sn;cap_hp2;36.3;0.0;0.0;0.0;0.0;0.0;3.0;0.0;12.0
sn;cap_hp3;0.0;0.0;0.0;0.0;0.0;0.0;2.7;0.0;0.0
sn;cap_hp4;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0
sn;cap_hp5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_hp6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_hp7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_hp_sum;86.3;42.5;0.0;0.0;0.0;0.0;42.2;13.4;40.6
sn;cap_in_sub_st-tes;35.3;35.3;35.3;35.3;35.3;35.3;35.3;35.3;35.3
sn;cap_out_sub_st-tes;35.3;35.3;35.3;35.3;35.3;35.3;35.3;35.3;35.3
sn;cap_sub_hp1;12.2;10.4;11.3;0.0;0.0;0.0;6.4;6.4;4.0
sn;cap_sub_hp2;3.7;7.2;10.7;0.0;0.0;0.0;5.9;0.0;4.0
sn;cap_sub_hp3;2.8;0.8;1.3;0.0;0.0;0.0;0.0;0.0;2.4
sn;cap_sub_hp4;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.2
sn;cap_sub_hp5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_sub_hp6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_sub_hp7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sn;cap_sub_hp_sum;18.7;19.2;23.4;0.0;0.0;0.0;12.3;6.4;11.6
sn;cap_sub_st-tes;846.8;846.8;846.8;846.8;846.8;846.8;846.8;846.8;846.8
sn;MIPGap;0.016;0.01;0.002;0.006;0.009;0.006;0.058;0.075;0.093
sn;LCOH;7.15;8.5;7.81;32.65;32.65;32.65;37.58;38.91;39.11
sn;objective;-146836854.9;-143970106.62;-145556655.48;-103681197.24;-101184028.29;-103754506.96;-113317174.61;-109987421.81;-113139774.68
IVgdh;cap_hp1;16.5;16.7;19.5;17.6;11.6;13.2;39.0;11.5;21.8
IVgdh;cap_hp2;14.2;16.4;17.8;9.4;7.5;10.1;17.0;10.1;18.6
IVgdh;cap_hp3;11.2;3.1;12.2;8.6;6.1;9.3;14.0;7.8;14.3
IVgdh;cap_hp4;6.3;2.1;4.5;8.4;5.5;9.0;8.0;7.6;13.6
IVgdh;cap_hp5;4.4;1.0;2.1;6.5;3.0;8.5;3.2;5.5;11.8
IVgdh;cap_hp6;2.7;0.0;0.0;0.9;2.4;6.8;0.7;5.4;6.0
IVgdh;cap_hp7;0.5;0.0;0.0;0.7;0.8;0.0;0.0;3.0;2.1
IVgdh;cap_hp_sum;55.9;39.3;56.0;52.1;36.9;56.9;81.9;51.0;88.3
IVgdh;cap_ice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IVgdh;cap_s-tes;13245.6;66240.5;12416.4;61041.1;86434.6;68816.9;122715.7;107882.9;125837.6
IVgdh;cap_sol;161805.1;161753.9;159891.0;161805.1;161805.1;161805.1;161805.1;161805.1;161805.1
IVgdh;MIPGap;0.004;0.01;0.023;0.087;0.098;0.085;0.088;0.097;0.068
IVgdh;LCOH;13.13;16.98;12.67;23.1;29.52;23.49;24.82;31.35;25.61
IVgdh;objective;-21978797.05;-20500986.46;-21968138.59;-11218196.16;-9176143.87;-10429856.76;-12646005.38;-10009112.81;-12106012.07
