;cap_ccet;cap_hp1;cap_hp2;cap_hp3;cap_hp4;cap_hp5;cap_hp6;cap_hp7;cap_in_st-tes;cap_out_st-tes;cap_plb;cap_st-tes;MIPGap
1.0;257.12920634371216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;68.0;8472.0;0.036
1.01;257.25586115781914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;75.0;8472.0;0.068
1.02;256.9362340345569;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;64.0;8472.0;0.046
1.03;256.9362340345569;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;78.0;8472.0;0.028
1.04;257.180784583859;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;83.0;8472.0;0.026
1.05;256.7343185495739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;55.0;8472.0;0.012
1.06;256.8443206984558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;83.0;8472.0;0.046
1.07;256.6173506032794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;13.0;8472.0;0.009
1.08;257.0442588619035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;59.0;8472.0;0.028
1.09;256.6173506032794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;64.0;8472.0;0.016
1.1;257.180784583859;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;83.0;8472.0;0.031
1.11;256.378237334129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;67.0;8472.0;0.021
1.12;256.378237334129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;83.0;8472.0;0.035
1.13;256.3668913361407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;83.0;8472.0;0.027
1.14;256.378237334129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;67.0;8472.0;0.047
1.15;254.6916372033416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;244.0;8472.0;0.011
1.16;256.3668913361407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;67.0;8472.0;0.024
1.17;255.04873860054488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;244.0;8472.0;0.022
1.18;254.7923526166558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;244.0;8472.0;0.026
1.19;254.1088098670332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;244.0;8472.0;0.017
1.2;253.00340788950248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;258.0;8472.0;0.037
1.21;250.93006861838137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.008
1.22;249.3707864116131;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.007
1.23;250.8842331244995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.043
1.24;250.5535364287452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.029
1.25;246.4958440345696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.006
1.26;247.62908601122777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.014
1.27;245.54756564866463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.058
1.28;244.31183828890795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.006
1.29;243.62480538382343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;276.0;8472.0;0.022
1.3;242.1338998583986;2.8667375427041475;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;273.0;8472.0;0.067
1.31;236.3842306819596;14.471949466358234;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;261.0;8472.0;0.122
1.32;225.1614862935185;38.293301331695;0.0;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;205.0;8472.0;0.444
1.33;209.04621316554253;50.0;9.868596959557388;0.0;0.0;0.0;0.0;0.0;353.000002824;353.000002824;183.0;8472.0;0.407
1.34;79.27392329173396;49.99999999999999;41.23715888939376;29.428461905124987;28.128480715166784;26.32815584284367;17.91807950388235;1.234438525337256;353.000002824;353.000002824;270.0;8472.0;0.12
1.35;55.18239194297787;48.20436781988334;31.865358586354937;31.283919001853885;28.631258449255853;26.784684940570767;23.771064430568924;18.42753381664904;353.000002824;353.000002824;298.0;8472.0;0.043
1.36;52.97958083648543;48.686076139606975;35.8065787127012;34.3162914156498;30.182076818133417;27.089154309994225;19.885740495638387;11.846397843525851;353.000002824;353.000002824;300.0;8472.0;0.039
1.37;51.94978631295146;44.4456636209604;41.07856613128498;30.93441366460201;26.534686481203096;23.93963019927818;21.4726293862098;18.48565391443149;353.000002824;353.000002824;298.0;8472.0;0.054
1.38;49.8908801581365;42.87597697879747;37.98158385003668;35.31609648670122;33.84222805774789;25.989212574949924;20.526881935365523;9.762715620210235;353.000002824;353.000002824;303.0;8472.0;0.065
1.39;48.31667018798157;50.0;50.0;50.0;16.308902965724762;16.308902965723977;15.348611240147324;7.864542440261474;353.000002824;353.000002824;305.0;8472.0;0.094
1.4;47.27645249008369;45.28537326715768;39.40925438789607;37.35838972479771;22.217475929533084;21.803107898872067;19.523114455733825;18.600662856722447;353.000002824;353.000002824;306.0;8472.0;0.093
1.41;46.7911244450713;49.7674589533687;45.98273491680211;23.990970970488537;23.77577423342109;22.253605337995907;21.898659314060662;16.62842790605325;353.000002824;353.000002824;307.0;8472.0;0.097
1.42;46.357720537932046;50.0;37.53639714549831;32.96193529616604;24.89981224535885;22.31141817504677;20.541021176797496;15.97719781192019;353.000002824;353.000002824;307.0;8472.0;0.095
1.43;46.15204163025936;36.30890966125337;34.844608746614085;32.61759042406936;32.601813158546406;31.00606503433956;22.290363742272728;13.652317784762372;353.000002824;353.000002824;303.0;8472.0;0.09
1.44;45.89248295247847;38.26209247284376;35.21214182221691;31.126932481914803;27.847693684749093;25.63845470162926;23.75599885225653;22.003369233749027;353.000002824;353.000002824;304.0;8472.0;0.094
1.45;45.73835934819366;40.72698676114244;38.90149655770389;32.832168535254475;25.643895740595617;24.64224490713676;20.89599175399612;19.61085215975636;353.000002824;353.000002824;304.0;8472.0;0.116
1.46;45.57746618577016;43.80359471519908;39.913008584549054;35.013325358575;28.13069534469472;23.211344828270327;19.312671976706728;14.794831848229732;353.000002824;353.000002824;304.0;8472.0;0.099
1.47;45.48106441980374;50.0;45.72879781963329;44.59645274067823;20.961093228845563;18.92677493921016;16.215572744975546;7.366024843067437;353.000002824;353.000002824;291.0;8472.0;0.093
1.48;45.47122745362735;49.17591739865925;39.622102507670405;36.42031776873616;22.159754499184707;21.018995864900607;19.2696320893669;16.169188669286825;353.000002824;353.000002824;291.0;8472.0;0.112
1.49;45.17309175930962;42.43177071976757;38.61375583772822;35.02840178694765;26.91758953615141;26.91758953615131;21.07954786532365;13.120309859646166;353.000002824;353.000002824;254.0;8472.0;0.099
1.5;45.14458690528252;49.99999999999973;44.35999698103058;38.98129229630561;28.165613638113097;19.55904974364296;12.737623492115851;10.176593372798694;353.000002824;353.000002824;254.0;8472.0;0.115
1.51;45.01638852187672;40.36924628188257;39.247379801917525;32.264186189206065;30.811838714507783;27.22197578065552;22.919547195365865;11.859208010862988;353.000002824;353.000002824;254.0;8472.0;0.094
1.52;44.84112520788664;50.0;46.75886032349938;41.59606182971673;39.68951861263937;17.39914410183074;5.437202601726448;3.5799986804228503;353.000002824;353.000002824;254.0;8472.0;0.086
1.53;44.90780078057679;50.0;42.50751257299343;28.58516615443488;24.80447584162208;20.47364624034688;19.65340870323403;18.760995229814373;353.000002824;353.000002824;254.0;8472.0;0.123
1.54;44.42831060244859;50.0;38.84213055618563;37.018253862805786;27.13072202319197;20.923072570517057;17.18553630542471;14.43299770181478;353.000002824;353.000002824;255.0;8472.0;0.185
1.55;44.47312325567233;50.0;32.903186898989006;32.903186898988935;24.31720724222845;22.60866553540223;22.2246224585384;20.64293403148153;353.000002824;353.000002824;255.0;8472.0;0.198
1.56;44.14648896251956;40.33568885548852;39.52784346692814;34.19041899728001;28.978760665457195;24.18169668256165;20.287047626624897;18.96811077578393;353.000002824;353.000002824;255.0;8472.0;0.223
1.5699999999999998;43.814078409388046;50.0;49.999999999999154;42.72162289532038;20.40076037145404;16.706780332861996;14.538085166245017;13.306651867938085;353.000002824;353.000002824;255.0;8472.0;0.139
1.58;43.77210460470906;50.0;45.86820367805144;45.29899420222778;19.60622047122605;18.219807753325064;15.500457834375784;13.630670220344646;353.000002824;353.000002824;255.0;8472.0;0.142
1.5899999999999999;43.79294993486403;45.45929547626787;41.82717330901668;36.62378109034646;29.648333520319433;21.412165693063322;17.90748400069099;15.597272251525714;353.000002824;353.000002824;255.0;8472.0;0.155
1.6;42.8538102920045;49.4083375325727;48.567050541139245;25.57601620032185;23.62377089269868;22.51370986850782;20.660525818560515;18.1563812400513;353.000002824;353.000002824;256.0;8472.0;0.132
1.6099999999999999;43.0131181608101;50.0;43.26164966614854;38.513266783134405;22.93684690193625;20.875049454459937;19.31123934658994;15.470216781785677;353.000002824;353.000002824;110.0;8472.0;0.123
1.62;42.553319844444246;48.34269201168133;31.79071026394279;29.83031206432391;29.592908320753608;25.999938942367432;25.190840966478145;20.724540919143905;353.000002824;353.000002824;102.0;8472.0;0.199
1.63;42.04797331886078;50.0;50.0;32.58250665877262;22.487862214281478;21.276454930196227;19.51503400624745;17.04672747007569;353.000002824;353.000002824;101.0;8472.0;0.165
1.6400000000000001;40.977310487859654;44.52926882044105;35.605474102140846;30.51659831680754;28.731490663444095;27.624730567873577;25.056888819333405;22.023686791164597;353.000002824;353.000002824;116.0;8472.0;0.218
1.65;40.528882059415366;49.78587225953716;36.31995235443675;32.02364426816054;27.885224744017886;26.854937355306287;23.218902452039984;18.987843474753973;353.000002824;353.000002824;108.0;8472.0;0.127
1.6600000000000001;39.7382955604669;39.466657474960144;36.690224675664254;33.60842578656148;29.098417746501905;28.772805081366503;27.173857187352684;22.985693525389294;353.000002824;353.000002824;116.0;8472.0;0.307
1.67;38.3495562858216;50.0;44.50364490583936;41.720727547664225;33.11179440969356;27.64724114855602;18.390992632104076;7.267315139456694;353.000002824;353.000002824;114.0;8472.0;0.374
1.6800000000000002;35.783592801971665;39.62989200747885;34.191282419378396;33.373377299730066;32.04121339926098;30.996216500839164;29.119656959922107;26.768232129267297;353.000002824;353.000002824;125.0;8472.0;0.284
1.69;32.58327580386369;44.937046621623395;44.734016625204994;42.66746432656524;38.23892173218822;32.24004779866853;21.508405696650453;11.659403025227707;353.000002824;353.000002824;37.0;8472.0;0.333
1.7;26.635119780533746;50.0;47.26327776299207;45.98572302586349;38.36210066147733;31.985356709757465;26.43832001098208;14.895130009323651;353.000002824;353.000002824;33.0;8472.0;0.144
1.71;20.171463646874496;50.0;43.882802576229565;43.57612811680601;43.40222348451901;37.831456891264224;32.93213458443554;20.779482491088896;353.000002824;353.000002824;1.0;8472.0;0.099
1.72;11.24015289661316;50.0;50.0;50.0;46.21669323444286;43.05388744198634;42.49606253890618;10.998793624273612;353.000002824;353.000002824;7.0;8472.0;0.097
1.73;3.705444421562914;50.0;50.0;50.0;50.0;47.69992845303279;41.45621411652397;17.96034460600456;353.000002824;353.000002824;3.0;8472.0;0.088
1.74;0.0;50.0;49.59616044444948;47.50245491409415;46.62095826242157;44.863820901620215;38.8884129163238;34.454327976229344;353.000002824;353.000002824;39.0;8472.0;0.063
1.75;0.0;50.0;49.20263681324586;47.73759866531473;46.83476166428763;41.40919709355448;38.49808464392902;38.24783083464112;353.000002824;353.000002824;35.0;8472.0;0.062
1.76;0.0;50.0;49.43472268010481;48.46394265470861;48.39773317894607;40.90419081667991;38.05515239378832;36.5958083458392;353.000002824;353.000002824;38.0;8472.0;0.05
1.77;0.0;50.0;50.0;50.0;46.929412591491705;42.25108707966356;41.59725154986066;31.141535606888013;353.000002824;353.000002824;28.0;8472.0;0.059
1.78;0.0;48.68911238824761;48.60879107724773;48.30997203036689;47.578210112358526;39.64484908091574;39.57427064318497;39.467774697692825;353.000002824;353.000002824;31.0;8472.0;0.063
1.79;0.0;50.0;49.58774204967895;48.81662000884098;47.21863806940895;46.33694695954019;35.955544357817466;34.00925154123966;353.000002824;353.000002824;33.0;8472.0;0.062
1.8;0.0;50.0;49.57374367689109;47.82604343262327;45.51739533757725;44.85593472034626;44.800971311730095;29.321743987138245;353.000002824;353.000002824;42.0;8472.0;0.063
